drug_code,약품명,보강값,출처
D0432,대한멸균생리식염수100ml/20개,일반,규칙:비통제→일반
D0433,대한멸균생리식염수100ml/50개,일반,규칙:비통제→일반
D0434,대한멸균생리식염수20ml/50pp,일반,규칙:비통제→일반
,대한에피네프린주사액/제일약품으로 변경,일반,규칙:비통제→일반
MUJ25C,마운자로프리필드펜주2.5mg,일반,규칙:비통제→일반
FLMN05,명문플루마제닐주0.5mg/플루닐주사대체,일반,규칙:비통제→일반
,박씨그리프테트라주(인플루엔자분할백신)0.5 mL,일반,규칙:비통제→일반
,베클루리주,일반,규칙:비통제→일반
,본비바주,일반,규칙:비통제→일반
,부광미다졸람주사5mg,일반,규칙:비통제→일반
,비유피-4정 20mg,일반,규칙:비통제→일반
,삭센다펜주6mg,일반,규칙:비통제→일반
CRBR10,세레브로리진주,일반,규칙:비통제→일반
,스카이셀플루4가PFS 0.5ml_,일반,규칙:비통제→일반
,스카이셀플루4가PFS 0.5ml_,일반,규칙:비통제→일반
,신풍로이솔주사액2ml,일반,규칙:비통제→일반
,신풍세프악손주,일반,규칙:비통제→일반
,신풍세프테졸나트륨주/생산중단,일반,규칙:비통제→일반
,신풍아미카신황산염250mg,일반,규칙:비통제→일반
,신풍파세타주,일반,규칙:비통제→일반
,에스포젠프리필드주2000iu,일반,규칙:비통제→일반
EPRJ05,에포론주사액프리필드시린지2000IU,일반,규칙:비통제→일반
ENPBJ,엔피본주3ml,일반,규칙:비통제→일반
WGV05C,위고비프리필드펜0.5mg,일반,규칙:비통제→일반
UNPRT45,유니페라탐주4.5g,일반,규칙:비통제→일반
,유영레보플록사신주250mg/미사용제약사반품,일반,규칙:비통제→일반
,유영레보플록사신주500mg,일반,규칙:비통제→일반
,유한쓰리챔버페리주561ml,일반,규칙:비통제→일반
,제일탄산수소나트륨주사액8.4%/폐기,일반,규칙:비통제→일반
TETRA6,지씨플루프리필드시린지주/독감_어르신0.5ml,일반,규칙:비통제→일반
TETRA5,지씨플루프리필드시린지주/독감_지자체0.5ml,일반,규칙:비통제→일반
TT-FLU44,지씨플루프리필드시린지주PFS/독감_일반0.5ml,일반,규칙:비통제→일반
,코미나티제이엔원주2.25ml/24년 코로나백신/모두사용,일반,규칙:비통제→일반
,코박스플루4가PF주0.5ml,일반,규칙:비통제→일반
,크녹산주60mg/23.9.30,일반,규칙:비통제→일반
,포스테오주2.4,일반,규칙:비통제→일반
,포폴주사12ml,일반,규칙:비통제→일반
,플루닐주사/플루마제닐주 대체,일반,규칙:비통제→일반
,하이알 원샷주,일반,규칙:비통제→일반
,훌그램주사,일반,규칙:비통제→일반
SHMLGM25KP,휴마로그믹스25퀵펜주,일반,규칙:비통제→일반
7DOPA,휴온스도파민주사액,일반,규칙:비통제→일반
,휴온스비타디본주,일반,규칙:비통제→일반
