drug_code,code_status,약품명,opening_qty,in_qty,used_qty,disposal_qty,return_qty,current_qty
MLMPR2,CODE,멜라엠서방정2mg,581,0,0,0,0,581
MLXC,CODE,멜록스캡슐,43,0,0,0,0,43
MYUNGDOPA25,CODE,명도파정25/100mg,160,0,0,0,0,160
GLCPRLAT,CODE,명문글리코피롤레이트정,1773,0,0,0,0,1773
NTRGLCR,CODE,명문니트로글리세린0.6mg설하정,1280.5,0,0,0,0,1280.5
CODEINE,CODE,명문인산코데인정 ★,0,0,0,0,0,0
,NOCODE,명문제약티로프라미드염산염정/비엘티로미변경,0,0,0,0,0,0
,NOCODE,명인벤즈트로핀 1mg-환인제약으로변경,0,0,0,0,0,0
BSPR10,CODE,명인부스피론염산염정10mg,633.5,0,0,0,0,633.5
SAMTRPTL,CODE,명인아미트리프틸린염산염정10mg,1306,0,0,0,0,1306
,NOCODE,명인엔타카폰정200mg,0,0,0,0,0,0
CLRMZ50,CODE,명인클로르프로마진염산염정50mg,2811.25,0,0,0,0,2811.25
SMNTRZDHL25,CODE,명인트라조돈염산염정25mg,2031,0,0,0,0,2031
SMITRZDT5,CODE,명인트라조돈염산염정50mg,1495,0,0,0,0,1495
MNPRPNZ4,CODE,명인페르페나진정4mg,918,0,0,0,0,918
,NOCODE,모누롤산,0,0,0,0,0,0
MVZL2,CODE,모비졸로정2mg,1054,0,0,0,0,1054
SMOSAPIT5,CODE,모사피트정5mg,5304,0,0,0,0,5304
,NOCODE,모사핀정,0,0,0,0,0,0
MONTELOS10,CODE,몬테로스정10mg,100,0,0,0,0,100
,NOCODE,몬테루칸정10mg,0,0,0,0,0,0
SMST4,CODE,몰시톤정4mg,300,0,0,0,0,300
SMCR10,CODE,무코란정,0,0,0,0,0,0
SMCS,CODE,뮤코졸정,0,0,0,0,0,0
,NOCODE,뮤테인캡슐200g,0,0,0,0,0,0
,NOCODE,뮤테인캡슐200g,0,0,0,0,0,0
SMINOCC5,CODE,미노씬캡슐50mg,125,0,0,0,0,125
,NOCODE,미니린멜트설하정60mcg,0,0,0,0,0,0
MDR,CODE,미드론정,793,0,0,0,0,793
MIRAP,CODE,미라프정0.25mg,0,0,0,0,0,0
MIRAP0.5,CODE,미라프정0.5mg,0,0,0,0,0,0
MIRTA15,CODE,밀타정15mg,668,0,0,0,0,668
MIRTA7.5,CODE,밀타정7.5mg,342.5,0,0,0,0,342.5
BNN10,CODE,바난정,175,0,0,0,0,175
