drug_code,code_status,약품명,구분,성분명KR,성분명EN,복합단일,효능,제조판매사,총수량,제형,포장,첨가제,전문일반,마약구분,ATC번호,대분류,중분류,소분류,급여구분,보험코드,보험약가,통당단가,구입단가,전월재고,유효기한,보관방법,보관위치,입고일자,상태,비고
NEUOXITAM,CODE,뉴옥시탐정,경구제,옥시라세탐,Oxiracetam,단일제,,환인제약(주),100,정제,병,"미결정셀룰로오스,포비돈,콜로이드성이산화규소,탤크",전문의약품,일반,N06BX07,신경계,정신활성제,정신자극제·ADHD 치료제,급여,,135,0,0,0,,,,,중지,
SNQU25,CODE,뉴큅정0.25mg,경구제,로피니롤염산염,Ropinirole Hydrochloride,단일제,,(주)유한양행,100,정제,PTP,"마이크로셀락100,오파드라이II흰색(85F18422),미결정셀룰로오스,크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘",전문의약품,일반,N04BC04,신경계,항파킨슨제,도파민성 약물,급여,,1878,0,0,0,,,,,중지,
NTRFRTI,CODE,니트로푸란토인캡슐,경구제,확인필요,확인필요,단일제,,확인필요,100,캡슐,병,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,확인필요,급여,,183,0,0,0,,,,,중지,
DRTT,CODE,다라톤정50mg,경구제,이토프리드염산염,Itopride Hydrochloride,단일제,,주식회사 노바엠헬스케어,30,정제,병,"오파드라이흰색(OY-S-28924),유당수화물,카르복시메틸셀룰로오스,콜로이드성이산화규소,스테아르산마그네슘,옥수수전분",전문의약품,일반,A03FA07,소화관 및 대사,기능성 위장관 장애 치료제,위장관 운동 촉진제,급여,,552,0,0,0,,,,,중지,
DIABX25,CODE,다이아벡스정250mg,경구제,메트포르민염산염,Metformin Hydrochloride,단일제,,(주)대웅제약,100,정제,병,"셀라세페이트,미결정셀룰로오스,디에칠프탈레이트,포비돈,스테아르산마그네슘,크로스카멜로오스나트륨,인산수소칼슘수화물",전문의약품,일반,A10BA02,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,972,0,0,0,,,,,중지,
DIAVX5,CODE,다이아벡스정500mg,경구제,메트포르민염산염,Metformin Hydrochloride,단일제,,(주)대웅제약,100,정제,병,"셀라세페이트,디에칠프탈레이트,스테아르산마그네슘,포비돈",전문의약품,일반,A10BA02,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,651,0,0,0,,,,,중지,
DICRZ,CODE,다이크로짇정,경구제,히드로클로로티아지드,Hydrochlorothiazide,단일제,,(주)유한양행,1000,정제,병,"유당수화물,스테아르산마그네슘,탤크,황색제5호,옥수수전분",전문의약품,일반,C03AA03,심혈관계,이뇨제,티아지드계 이뇨제,급여,642100160,256,10000,10,1213.5,2028-03-09,실온,,,사용,
DFL10,CODE,답플로정10mg,경구제,다파글리플로진프로판디올수화물,Dapagliflozin Propanediol Hydrate,단일제,,영진약품(주),28,정제,PTP,"규화미결정셀룰로오스,저치환도히드록시프로필셀룰로오스,유당수화물,코포비돈,오파드라이II노란색(85F92582),스테아르산마그네슘",전문의약품,일반,A10BK01,소화관 및 대사,당뇨병 치료제,경구용 혈당강하제,급여,,114,0,0,0,,,,,중지,
DWASPI100,CODE,대웅바이오아스피린장용정100mg,경구제,아스피린,Aspirin,단일제,,대웅바이오(주),300,정제,병,"전호화전분,탤크,분말셀룰로오스,옥수수전분,아크릴이즈 흰색(93O18509)",일반의약품,일반,B01AC06,혈액 및 조혈기관,항혈전제,항혈전제,급여,694001810,196,23100,77,1500,2028-08-25,실온,,,휴면,
ATRVST80,CODE,대웅바이오아토르바스타틴정80mg,경구제,아토르바스타틴칼슘삼수화물,Atorvastatin Calcium Trihydrate,단일제,,대웅바이오(주),30,정제,병,"폴리소르베이트80,미결정셀룰로오스,유당수화물,오파드라이흰색(03B28796),크로스카멜로오스나트륨,콜로이드성이산화규소,스테아르산마그네슘,침강탄산칼슘,히드록시프로필셀룰로오스",전문의약품,일반,C10AA05,심혈관계,지질조절제,지질저하제(단일),급여,694003400,106,46110,1537,177,2027-11-13,실온,,,사용,
FCCL250,CODE,대웅팜시클로비르정250mg,경구제,팜시클로비르,Famciclovir,단일제,,(주)대웅제약,21,정제,병,"저치환도히드록시프로필셀룰로오스(LH-11),유당수화물,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨,오파드라이흰색80W68912",전문의약품,일반,J05AB09,전신 작용 항감염제,전신 작용 항바이러스제,직접 작용 항바이러스제,급여,,1251,80724,3844,0,,실온,,,중지,
