snapshot_month,drug_code,code_status,약품명,opening_qty,opening_amt,in_qty,in_amt,used_qty,used_amt,disposal_qty,return_qty,closing_qty,closing_amt
2026-01,ROSUDUO5,CODE,로수듀오정10/5mg,351,314145,120,107400,93,83235,0,0,378,338310
2026-01,ROSM10,CODE,로수민정10mg,956,584116,0,0,139,84929,0,0,817,499187
2026-01,ROSM20,CODE,로수민정20mg,173,118505,0,0,103,70555,0,0,70,47950
2026-01,RSM5,CODE,로수민정5mg,182,62972,150,51900,124,42904,0,0,208,71968
2026-01,,NOCODE,로수엠젯정10/10mg,,,0,0,0,0,0,0,0,0
2026-01,RSMZ105,CODE,로수엠젯정10/5mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,로스탈정100mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,로이솔정(아록솔정 대체/23.11.15입고),,,0,0,0,0,0,0,0,0
2026-01,LOTINE20,CODE,로틴캡슐20mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,로프민캅셀2mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,록스펜정,,,0,0,0,0,0,0,0,0
2026-01,LRJTDO500,CODE,리라젠타듀오정2.5/500mg,1443,487734,0,0,56,18928,0,0,1387,468806
2026-01,LRJT5,CODE,리라젠타정5mg,924,371448,0,0,100,40200,0,0,824,331248
2026-01,,NOCODE,리마리프정166.67mg,,,0,0,0,0,0,0,0,0
2026-01,LVLO,CODE,리바로정2mg,172,94084,0,0,62,33914,0,0,110,60170
2026-01,RIVARM15,CODE,리바록엠정15mg,552,615480,0,0,31,34565,0,0,521,580915
2026-01,RIVARM20,CODE,리바록엠정20mg,,,100,111500,0,0,0,0,100,111500
2026-01,RVM15,CODE,리바마인캡슐1.5mg,140,130480,0,0,0,0,0,0,140,130480
2026-01,LVTGR,CODE,리박트과립,348,841116,0,0,0,0,0,0,348,841116
2026-01,RVTRL,CODE,리보트릴정0.5mg,1443.75,43312.5,0,0,239.5,7185,0,0,1204.25,36127.5
2026-01,,NOCODE,리비알정,,,0,0,0,0,0,0,0,0
2026-01,RSB35,CODE,리세본정35mg,13,56004,0,0,0,0,0,0,13,56004
2026-01,RSPL,CODE,리센플러스정,4,19768,0,0,0,0,0,0,4,19768
2026-01,RISELTON1.5,CODE,리셀톤캡슐1.5mg,114,97926,0,0,62,53258,0,0,52,44668
2026-01,RISELTON,CODE,리셀톤캡슐3mg,540,463860,0,0,0,0,0,0,540,463860
2026-01,,NOCODE,리셀톤캡슐4.5mg,,,0,0,0,0,0,0,0,0
2026-01,SRSP0.5,CODE,리스펜정0.5mg,,,0,0,0,0,0,0,0,0
2026-01,PRRC75,CODE,리카스타캡슐75mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,리큅정0.25mg(뉴큅정으로 변경),,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,리큅정1mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,리큅피디정2mg,,,0,0,0,0,0,0,0,0
2026-01,RTMNSR2,CODE,리트모놈SR서방캡슐225mg,261,107532,0,0,0,0,0,0,261,107532
2026-01,SRFPC15,CODE,리팜핀캅셀150mg,315,21420,0,0,0,0,315,0,0,0
2026-01,RIFDC150,CODE,리포덱스캅셀,,,500,52000,0,0,0,0,500,52000
2026-01,,NOCODE,리피논정80mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,리피엔정10mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,리피엔정20mg,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,리피토정80mg(리피논정 변경예정),,,0,0,0,0,0,0,0,0
2026-01,LXANAT3,CODE,릭시아나정30mg,201,408432,56,113792,92,186944,0,0,165,335280
2026-01,SRLXIA12,CODE,릴렉시아정125mg,,,0,0,0,0,0,0,0,0
2026-01,MGNS,CODE,마그네스정,251,27610,0,0,62,6820,0,0,189,20790
2026-01,MGM,CODE,마그밀정,11000,253000,5000,115000,3265,75095,0,0,12735,292905
2026-01,MAGO5,CODE,마그오캡슐500mg,333,53280,0,0,0,0,0,0,333,53280
2026-01,,NOCODE,마도파에취비에스캅셀,,,0,0,0,0,0,0,0,0
2026-01,,NOCODE,마이암브톨제피정,,,0,0,0,0,0,0,0,0
2026-01,MYPC,CODE,마이폴캡슐10mg,292,83512,0,0,0,0,0,0,292,83512
2026-01,MPRT,CODE,마프론정,719,197006,0,0,117,32058,0,0,45,164948
2026-01,MXBFER,CODE,맥시부펜이알300mg,4932,547452,0,0,374,41514,0,0,4558,505938
2026-01,,NOCODE,맥시크란정625mg,,,0,0,0,0,0,0,0,0
2026-01,MPR,CODE,맥페란정,78,3822,0,0,0,0,0,0,78,3822
